,Year,Brand,Name,Device,Form Factor,Architecture,Synthesis,Synthesis Details,Polyphony,Oscillators,Multitimbral,Keys,MIDI,Memory,Key type,Velocity,Aftertouch,Produced,Duration,Fame
0,1896,Thaddeus Cahill,Thaddeus Cahill - Telharmonium,Synth,Keys,Analog,Analog,Electromagnetic,84,408,0,153,False,False,Keys,False,False,1896 - 1914,18,0.1820243502714849
1,1905,Max Kohl AG,Max Kohl Ag - Helmholtz Sound Synthesiser,Synth,Desktop,Analog,Analog,Acoustic resonators,10,10,0,0,False,False,Keys,False,False,1905 - 1905,0,0.0876957270555092
2,1928,Lev Sergeyevich Termen,Lev Sergeyevich Termen - Theremin,Synth,Desktop,Analog,Analog,VCO,1,3,1,0,False,False,,False,False,1928 - 1928,0,0.1111323501112304
3,1928,Maurice Martenot,Maurice Martenot - Ondes Martenot,Synth,Keys,Analog,Analog,VCO,1,1,0,72 / 84,False,False,Keys,False,False,1928 - 1988,60,0.2374284124864964
4,1930,Friedrich Trautwein,Friedrich Trautwein - Trautonium,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,False,False,Wire,False,False,1930 - 1935,5,0.1327429736511503
5,1931,Lev Sergeyevich Termen,Lev Sergeyevich Termen - Rhythmicon,Drum,Desktop,Analog,Analog,VCO,16,0,0,0,False,False,Keys,False,False,1931 - 1963,32,0.0684715835416312
6,1938,Harald Bode,Harald Bode - Melodium,Synth,Keys,Analog,Analog,VCO,1,1,0,49,False,False,Keys,False,False,1938 - 1941,3,0.1336992676166018
7,1939,Hammond,Hammond - Novachord,Synth,Keys,Analog,Analog,VCO,72,12,0,72,False,False,Keys,False,False,1939 - 1942,3,0.1902548981161851
8,1939,Les Ondes Sonores Jenny,Ondioline,Synth,Keys,Analog,Analog,Tube,1,2,0,37,False,False,Keys + String,True,False,1947 - 1968,21,0.3051159840556183
9,1946,Jörgensen Electronics,Jörgensen Electronics - Tuttivox,Synth,Keys,Analog,Analog,VCO,1,1,0,36,False,False,Keys,False,False,1946 - 1961,15,0.1431260459411439
10,1948,Oskar Sala,Oskar Sala - Mixtur-Trautonium,Synth,Desktop,Analog,Analog,VCO,2,2,0,0,False,False,Wire,False,False,1948 - 1952,4,0.1672565759754022
11,1948,Chamberlin,Chamberlin - 100 Rhythmate,Drum,Sampler,Analog,Analog,Sample,1,0,0,0,False,False,,False,False,1948 - 1949,1,0.3343248851903297
12,1951,Chamberlin,Chamberlin - 200,Keys,Sampler,Analog,Analog,Sample,0,0,0,35,False,False,,False,False,1951 - 1959,8,0.2155116798682367
13,1953,Tolana-SAREG-ORTF,Tolana-Sareg-Ortf - Phonogène,Sampler,Keys,Analog,Analog,Sample (Tape),1,0,0,12,False,False,Keys,False,False,1953 - 1963,10,0.0927491576687159
14,1956,Manhattan Research,Manhattan Research - Clavivox,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,False,Keys,False,False,1956 - 1956,0,0.1388757519455399
15,1957,Evgeny Murzin,Evgeny Murzin - Ans Synthesizer,Synth,Desk,Analog,Analog,VCO,720,720,0,0,False,False,,False,False,1957 - 1958,1,0.4234726178337125
16,1958,Manhattan Research,Manhattan Research - Circle Machine,Synth,Rack,Analog,Analog,VCO,1,1,0,0,False,False,,False,False,1958 - 1958,0,0.1325223205218662
17,1959,Wurlitzer,Wurlitzer - Sideman,Drum,Floor-unit,Analog,Analog,VCO Preset,10,1,10,0,False,True,,False,False,1959 - 1959,0,0.1715257368517717
18,1960,Chamberlin,Chamberlin - 300-350 Remote,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1960 - 1969,9,0.1210649182326748
19,1960,Chamberlin,Chamberlin - 25-35-45 Rhythmate,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1960 - 1969,9,0.2135458991848725
20,1961,Ernst Schreiber,Ernst Schreiber - Subharchord,Synth,Keys,Analog,Analog,VCO,1,1,0,44,False,False,Keys,False,False,1961 - 1970,9,0.067264164959891
21,1961,Chamberlin,Chamberlin - 400,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1961 - 1961,8,0.113038078270488
22,1961,Chamberlin,Chamberlin - 500,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1961 - 1961,8,0.1175176823660378
